dv,s,a
-6.69578,173.73,-2.44444
-3.99236,173.573,-2.18876
-9.3012,173.513,-0.439368
-7.44364,173.279,-0.464257
-3.55275,173.199,-2.02178
-6.40312,173.076,-2.86406
10.6135,173.002,-1.12728
-3.2185,172.862,-1.01935
-9.07638,172.595,-0.844755
-3.09765,172.556,2.04896
-7.01701,172.556,-2.05733
-6.09457,172.449,-3.24678
-3.5284,172.243,4.12479
1.20746,172.05,0.27156
10.2141,171.942,-4.98151
1.49532,171.929,0.299715
-6.62019,171.875,-1.94399
-5.73324,171.857,-3.59404
-4.08696,171.85,1.77652
-8.70406,171.698,-0.76694
-4.22376,171.425,-1.3925
-5.36222,171.303,-3.48779
-6.25267,171.232,-1.8279
-4.18414,171.005,-2.20697
9.30756,170.96,-6.25425
-8.27288,170.854,0.356528
-5.02833,170.784,-3.15321
-5.91381,170.625,-1.7105
-4.15534,170.589,-2.04972
-4.72972,170.297,-1.99532
-4.13239,170.174,-1.89467
8.50424,170.08,-3.5056
-5.60283,170.049,-1.59308
-8.2146,170.044,1.12739
-4.42413,169.838,-0.461967
-4.11215,169.762,-0.903732
-5.4023,169.504,-1.47671
-4.12872,169.412,-0.717175
-4.26079,169.352,0.4751
8.0768,169.259,-0.614057
-8.18117,169.211,0.127382
-3.90774,169.125,-1.86523
-5.43429,168.969,0.945545
-4.48815,168.91,0.0775539
-3.73979,168.743,-2.09442
7.77577,168.465,0.20152
-4.52924,168.454,1.10692
-6.02241,168.417,4.44356
-3.59669,168.377,-1.85263
-7.89861,168.295,0.192891
-3.47649,168.024,-1.6263
-4.93565,168.004,4.98441
-0.841641,167.935,3.02757
-1.55214,167.81,2.40643
-6.65525,167.764,3.06709
7.43006,167.704,0.171993
-3.37728,167.682,-1.41546
-7.72037,167.519,0.529099
-5.63966,167.467,4.86508
-3.29721,167.348,-1.21998
-6.60869,167.086,-0.720323
-3.23445,167.022,-1.03959
7.03638,166.979,0.135995
-5.78632,166.876,0.562584
-7.65296,166.751,-0.339709
-3.18729,166.701,-1.71316
-6.27068,166.443,-1.0974
-2.90247,166.385,-2.79322
-5.45655,166.31,-2.04511
6.59147,166.296,0.0929026
-2.51233,166.121,-2.11575
-7.5979,165.989,-0.76213
-2.41247,165.882,-0.576196
-6.12506,165.832,0.256657
-4.97158,165.785,-1.5392
6.0921,165.661,0.0420694
-2.46704,165.638,0.0142517
-2.52852,165.389,0.10419
-4.55706,165.315,-0.153369
-7.38617,165.231,-0.699815
-6.16584,165.218,-0.160277
-2.59539,165.133,0.180992
5.58375,165.078,-0.625027
-4.2187,164.873,-0.539014
-2.6663,164.87,0.24572
0.313213,164.829,-1.56565
0.320538,164.829,0.607791
0.576618,164.798,0.640112
0.393742,164.793,-0.299448
0.385375,164.75,0.574187
0.912191,164.713,0.670603
1.04781,164.616,0.212362
-2.74005,164.6,0.299406
-6.083,164.599,-1.45336
5.08383,164.544,-2.46843
-7.10609,164.511,0.199818
1.09613,164.504,-0.696498
-3.74016,164.472,-1.80152
1.06487,164.396,-0.283236
-2.81555,164.322,0.343044
1.21137,164.291,0.0880862
1.17325,164.154,-0.830623
-3.20929,164.125,-1.29104
4.5318,164.061,-3.22344
0.86862,164.056,-0.427307
-2.89187,164.036,-0.671457
-5.83337,164.001,-0.972564
0.722613,163.98,0.541922
-2.88944,163.83,1.35529
0.762022,163.799,0.902153
-2.84231,163.743,-2.1844
1.16609,163.716,1.03899
4.1332,163.638,-1.77007
1.50205,163.566,0.727695
-2.94116,163.547,2.8159
-2.73317,163.468,-1.49055
-5.72627,163.432,0.386283
1.6803,163.415,0.508338
-2.96366,163.242,1.57976
3.91343,163.234,-0.812636
1.7711,163.23,0.491827
-2.76251,163.197,0.290848
1.78172,163.061,-0.0188444
-2.81545,162.955,0.354826
-2.8625,162.915,0.0565766
1.87168,162.874,-1.47214
-5.72028,162.856,0.811516
3.66017,162.855,-0.909832
1.68573,162.687,-2.54307
